Gene name	Gene stable ID
cyp-14A5	WBGene00000373
ceh-40	WBGene00000461
cnc-6	WBGene00000560
cng-3	WBGene00000563
col-10	WBGene00000599
col-52	WBGene00000629
col-92	WBGene00000667
col-93	WBGene00000668
col-125	WBGene00000699
col-133	WBGene00000707
col-146	WBGene00000719
col-159	WBGene00000732
col-167	WBGene00000740
col-169	WBGene00000742
col-180	WBGene00000753
col-183	WBGene00000756
cpr-2	WBGene00000782
dsl-1	WBGene00001103
dsl-5	WBGene00001107
elo-7	WBGene00001245
fat-7	WBGene00001399
gcy-2	WBGene00001529
gcy-7	WBGene00001534
his-8	WBGene00001882
his-16	WBGene00001890
his-47	WBGene00001921
his-58	WBGene00001932
kin-6	WBGene00002194
lon-3	WBGene00003057
lys-5	WBGene00003094
lys-6	WBGene00003095
lys-10	WBGene00003099
mig-21	WBGene00003252
nlp-25	WBGene00003763
pax-2	WBGene00003938
pqn-54	WBGene00004139
rrn-3.56	WBGene00004677
snf-8	WBGene00004907
sra-13	WBGene00005039
sra-20	WBGene00005046
srb-7	WBGene00005072
srd-13	WBGene00005091
srd-19	WBGene00005097
srd-36	WBGene00005114
srd-58	WBGene00005135
srd-59	WBGene00005136
srd-71	WBGene00005148
srg-4	WBGene00005162
srg-45	WBGene00005202
srg-62	WBGene00005219
srh-7	WBGene00005233
srh-47	WBGene00005270
srh-75	WBGene00005296
srh-150	WBGene00005366
srh-178	WBGene00005393
srh-179	WBGene00005394
srh-185	WBGene00005400
srh-258	WBGene00005464
sri-28	WBGene00005540
sri-43	WBGene00005555
sri-62	WBGene00005574
srj-53	WBGene00005632
sru-47	WBGene00005710
srv-8	WBGene00005719
srw-63	WBGene00005810
srw-64	WBGene00005811
srx-11	WBGene00005902
srx-59	WBGene00005950
srx-71	WBGene00005962
srx-74	WBGene00005965
str-3	WBGene00006071
str-46	WBGene00006111
str-134	WBGene00006182
str-146	WBGene00006193
str-172	WBGene00006216
str-220	WBGene00006251
tor-2	WBGene00006598
trf-1	WBGene00006612
twk-44	WBGene00006694
vit-3	WBGene00006927
vit-4	WBGene00006928
zig-3	WBGene00006980
clec-225	WBGene00007152
B0457.4	WBGene00007179
nspb-7	WBGene00007243
nspb-10	WBGene00007246
nspb-9	WBGene00007251
C05D12.4	WBGene00007341
gmap-3	WBGene00007344
C06B8.2	WBGene00007368
C08F8.9	WBGene00007449
C08F11.12	WBGene00007459
C09G1.2	WBGene00007484
C15C6.1	WBGene00007600
fbxa-136	WBGene00007672
C24H11.2	WBGene00007700
srd-74	WBGene00007701
C31H5.7	WBGene00007858
cld-1	WBGene00007872
C40H1.7	WBGene00008042
C46C2.5	WBGene00008113
gcsh-1	WBGene00008354
nspc-16	WBGene00008357
nspc-18	WBGene00008358
E03H4.5	WBGene00008473
F02H6.7	WBGene00008540
appg-2	WBGene00008559
nhr-262	WBGene00008619
F09C8.1	WBGene00008621
F11A5.15	WBGene00008680
nhr-264	WBGene00008778
nhr-281	WBGene00008884
F20B10.2	WBGene00008966
bgnt-1.3	WBGene00009032
F28B1.2	WBGene00009196
F37A8.2	WBGene00009502
F40G12.2	WBGene00009597
nspc-13	WBGene00009637
nspc-15	WBGene00009639
fbxb-8	WBGene00009861
F49C12.1	WBGene00009871
F53F1.4	WBGene00009982
F55D12.1	WBGene00010110
oac-37	WBGene00010391
K02E11.4	WBGene00010513
K02E11.6	WBGene00010515
K10G4.4	WBGene00010753
srsx-39	WBGene00010802
R01E6.7	WBGene00010971
R05A10.6	WBGene00011023
R11D1.2	WBGene00011243
ttr-28	WBGene00011285
T01C3.11	WBGene00011325
flor-1	WBGene00011339
lgc-15	WBGene00011356
lgc-16	WBGene00011358
T04A11.1	WBGene00011416
T04A11.4	WBGene00011419
T05E12.3	WBGene00011486
T06G6.5	WBGene00011547
T08G3.7	WBGene00011619
T22H2.4	WBGene00011934
W02A2.5	WBGene00012190
mltn-4	WBGene00012200
W07A12.8	WBGene00012325
Y17D7B.5	WBGene00012453
Y39B6A.31	WBGene00012690
srt-47	WBGene00012770
Y43D4A.5	WBGene00012791
Y44A6C.2	WBGene00012851
Y50E8A.14	WBGene00013056
fbxb-100	WBGene00013403
ZC15.1	WBGene00013830
scl-20	WBGene00013972
lips-6	WBGene00014009
srt-22	WBGene00014191
C25D7.14	WBGene00014681
C37A5.3	WBGene00014698
F46A8.1	WBGene00014759
ZK262.12	WBGene00014984
B0524.4	WBGene00015243
B0554.4	WBGene00015257
ugt-63	WBGene00015449
C04G6.2	WBGene00015453
txt-9	WBGene00015455
C06G3.4	WBGene00015550
lido-2	WBGene00015587
fbxa-164	WBGene00015599
C15F1.2	WBGene00015795
C16C8.18	WBGene00015855
C17F4.3	WBGene00015911
C17F4.8	WBGene00015914
C18A11.4	WBGene00015950
C23H5.8	WBGene00016027
cht-3	WBGene00016084
C30G12.2	WBGene00016274
fbxc-14	WBGene00016298
sdz-4	WBGene00016309
C33E10.5	WBGene00016347
C34D4.2	WBGene00016398
