Gene name	Gene stable ID
cdd-1	WBGene00000391
cdr-1	WBGene00000412
cng-1	WBGene00000562
col-36	WBGene00000613
H17B01.2	WBGene00000646
col-102	WBGene00000676
col-121	WBGene00000695
col-126	WBGene00000700
col-127	WBGene00000701
col-168	WBGene00000741
far-4	WBGene00001388
fkh-3	WBGene00001435
grl-23	WBGene00001732
gst-2	WBGene00001750
gst-14	WBGene00001762
gst-25	WBGene00001773
gst-30	WBGene00001778
gst-31	WBGene00001779
gst-38	WBGene00001786
his-16	WBGene00001890
his-20	WBGene00001894
his-22	WBGene00001896
his-28	WBGene00001902
his-29	WBGene00001903
his-30	WBGene00001904
his-33	WBGene00001907
his-34	WBGene00001908
his-45	WBGene00001919
his-50	WBGene00001924
his-52	WBGene00001926
his-54	WBGene00001928
his-65	WBGene00001939
his-66	WBGene00001940
inx-6	WBGene00002128
msp-19	WBGene00003426
msp-59	WBGene00003452
nhr-82	WBGene00003672
pgp-7	WBGene00004001
pgp-14	WBGene00004008
pgp-15	WBGene00004009
parg-2	WBGene00004052
trpl-5	WBGene00004149
rpl-39	WBGene00004453
sea-1	WBGene00004750
spe-17	WBGene00004971
srd-30	WBGene00005108
srg-30	WBGene00005187
srh-227	WBGene00005435
srh-228	WBGene00005436
srh-245	WBGene00005451
srh-246	WBGene00005452
srh-268	WBGene00005474
srh-270	WBGene00005476
sri-19	WBGene00005531
sru-16	WBGene00005679
sru-38	WBGene00005701
sru-40	WBGene00005703
srv-34	WBGene00005745
srw-16	WBGene00005763
srw-86	WBGene00005833
srw-105	WBGene00005852
srw-120	WBGene00005867
srx-21	WBGene00005912
srx-36	WBGene00005927
srx-80	WBGene00005971
srx-129	WBGene00006020
ssp-9	WBGene00006038
str-35	WBGene00006101
str-120	WBGene00006171
spl-2	WBGene00006418
tub-1	WBGene00006655
vit-2	WBGene00006926
vit-5	WBGene00006929
B0024.4	WBGene00007097
B0462.4	WBGene00007183
lact-6	WBGene00007358
C14A4.9	WBGene00007560
C24H11.1	WBGene00007699
C25D7.12	WBGene00007721
C27B7.9	WBGene00007765
oac-6	WBGene00007833
srxa-7	WBGene00007834
C36H8.1	WBGene00007987
C38D9.2	WBGene00008010
sdz-6	WBGene00008068
C44H9.7	WBGene00008102
C54G10.1	WBGene00008319
sdz-8	WBGene00008334
nspc-17	WBGene00008359
D2045.5	WBGene00008423
oac-13	WBGene00008475
clec-17	WBGene00008477
F01D4.8	WBGene00008490
F08G2.8	WBGene00008579
fbxa-88	WBGene00008632
F10A3.4	WBGene00008634
F10A3.11	WBGene00008636
oac-15	WBGene00008676
F11D11.3	WBGene00008698
F15D4.5	WBGene00008862
rif-1.2	WBGene00008958
F22B3.5	WBGene00009036
F23H12.5	WBGene00009094
fipr-2	WBGene00009097
F25D1.3	WBGene00009108
oac-18	WBGene00009230
F28H7.2	WBGene00009236
ugt-34	WBGene00009255
F35E2.5	WBGene00009412
oac-20	WBGene00009488
F38A1.6	WBGene00009519
F40F9.3	WBGene00009581
F40G12.11	WBGene00009606
nhr-265	WBGene00009608
F44E5.4	WBGene00009691
